MSSubClass,MSZoning,LotFrontage,LotArea,Street,Alley,LotShape,LandContour,Utilities,LotConfig,LandSlope,Neighborhood,Condition1,Condition2,BldgType,HouseStyle,OverallQual,OverallCond,YearBuilt,YearRemodAdd,RoofStyle,RoofMatl,Exterior1st,Exterior2nd,MasVnrType,MasVnrArea,ExterQual,ExterCond,Foundation,BsmtQual,BsmtCond,BsmtExposure,BsmtFinType1,BsmtFinSF1,BsmtFinType2,BsmtFinSF2,BsmtUnfSF,TotalBsmtSF,Heating,HeatingQC,CentralAir,Electrical,1stFlrSF,2ndFlrSF,LowQualFinSF,GrLivArea,BsmtFullBath,BsmtHalfBath,FullBath,HalfBath,BedroomAbvGr,KitchenAbvGr,KitchenQual,TotRmsAbvGrd,Functional,Fireplaces,FireplaceQu,GarageType,GarageYrBlt,GarageFinish,GarageCars,GarageArea,GarageQual,GarageCond,PavedDrive,WoodDeckSF,OpenPorchSF,EnclosedPorch,3SsnPorch,ScreenPorch,PoolArea,PoolQC,Fence,MiscFeature,MiscVal,MoSold,YrSold,SaleType,SaleCondition
20,1,80.0,11.622,0,-1,0,0,0,0,0,0,1,0,0,0,5,6,1961,1961,0,0,0,0,0,0.0,0,0,1,0,0,0,3,468.0,2,144.0,270.0,882.0,0,1,0,0,896,0,0,896,0.0,0.0,1,0,2,1,0,5,0,0,-1,0,1961.0,0,1.0,730.0,0,0,0,140,0,0,0,120,0,-1,0,-1,0,6,2010,0,0
20,4,81.0,14.267,0,-1,1,0,0,1,0,0,0,0,0,0,6,6,1958,1958,1,0,3,3,1,108.0,0,0,1,0,0,0,2,923.0,0,0.0,406.0,1329.0,0,1,0,0,1329,0,0,1329,0.0,0.0,1,1,3,1,1,6,0,0,-1,0,1958.0,0,1.0,312.0,0,0,0,393,36,0,0,0,0,-1,-1,1,12500,6,2010,0,0
60,4,74.0,13.83,0,-1,1,0,0,0,0,7,0,0,0,1,5,5,1997,1998,0,0,0,0,0,0.0,0,0,0,1,0,0,1,791.0,0,0.0,137.0,928.0,0,2,0,0,928,701,0,1629,0.0,0.0,2,1,3,1,0,6,0,1,1,0,1997.0,2,2.0,482.0,0,0,0,212,34,0,0,0,0,-1,0,-1,0,3,2010,0,0
60,4,78.0,9.978,0,-1,1,0,0,0,0,7,0,0,0,1,6,6,1998,1998,0,0,0,0,1,20.0,0,0,0,0,0,0,1,602.0,0,0.0,324.0,926.0,0,0,0,0,926,678,0,1604,0.0,0.0,2,1,3,1,1,7,0,1,0,0,1998.0,2,2.0,470.0,0,0,0,360,36,0,0,0,0,-1,-1,-1,0,6,2010,0,0
120,4,43.0,5.005,0,-1,1,1,0,0,0,17,0,0,1,0,8,5,1992,1992,0,0,2,2,0,0.0,1,0,0,1,0,0,2,263.0,0,0.0,1017.0,1280.0,0,0,0,0,1280,0,0,1280,0.0,0.0,2,0,2,1,1,5,0,0,-1,0,1992.0,1,2.0,506.0,0,0,0,0,82,0,0,144,0,-1,-1,-1,0,1,2010,0,0
60,4,75.0,10.0,0,-1,1,0,0,1,0,7,0,0,0,1,6,5,1993,1994,0,0,2,2,0,0.0,0,0,0,1,0,0,0,0.0,0,0.0,763.0,763.0,0,2,0,0,763,892,0,1655,0.0,0.0,2,1,3,1,0,7,0,1,1,0,1993.0,2,2.0,440.0,0,0,0,157,84,0,0,0,0,-1,-1,-1,0,4,2010,0,0
20,4,-1.0,7.98,0,-1,1,0,0,0,0,7,0,0,0,0,6,7,1992,2007,0,0,2,2,0,0.0,0,1,0,1,0,0,2,935.0,0,0.0,233.0,1168.0,0,0,0,0,1187,0,0,1187,1.0,0.0,2,0,3,1,0,6,0,0,-1,0,1992.0,2,2.0,420.0,0,0,0,483,21,0,0,0,0,-1,1,0,500,3,2010,0,0
60,4,63.0,8.402,0,-1,1,0,0,0,0,7,0,0,0,1,6,5,1998,1998,0,0,0,0,0,0.0,0,0,0,1,0,0,0,0.0,0,0.0,789.0,789.0,0,2,0,0,789,676,0,1465,0.0,0.0,2,1,3,1,0,7,0,1,0,0,1998.0,2,2.0,393.0,0,0,0,0,75,0,0,0,0,-1,-1,-1,0,5,2010,0,0
20,4,85.0,10.176,0,-1,0,0,0,0,0,7,0,0,0,0,7,5,1990,1990,0,0,2,2,0,0.0,0,0,0,1,0,2,1,637.0,0,0.0,663.0,1300.0,0,2,0,0,1341,0,0,1341,1.0,0.0,1,1,2,1,1,5,0,1,3,0,1990.0,0,2.0,506.0,0,0,0,192,0,0,0,0,0,-1,-1,-1,0,2,2010,0,0
20,4,70.0,8.4,0,-1,0,0,0,1,0,0,0,0,0,0,4,5,1970,1970,0,0,4,4,0,0.0,0,0,1,0,0,0,2,804.0,1,78.0,0.0,882.0,0,1,0,0,882,0,0,882,1.0,0.0,1,0,2,1,0,4,0,0,-1,0,1970.0,2,2.0,525.0,0,0,0,240,0,0,0,0,0,-1,0,-1,0,4,2010,0,0
120,1,26.0,5.858,0,-1,1,0,0,3,0,0,0,0,1,0,7,5,1999,1999,0,0,1,1,0,0.0,1,0,0,1,0,0,1,1051.0,3,0.0,354.0,1405.0,0,0,0,0,1337,0,0,1337,1.0,0.0,2,0,2,1,1,5,0,1,2,0,1999.0,2,2.0,511.0,0,0,0,203,68,0,0,0,0,-1,-1,-1,0,6,2010,0,0
160,3,21.0,1.68,0,-1,0,0,0,0,0,21,0,0,3,1,6,5,1971,1971,0,0,2,2,1,504.0,0,0,1,0,0,0,3,156.0,0,0.0,327.0,483.0,0,1,0,0,483,504,0,987,0.0,0.0,1,1,2,1,0,5,0,0,-1,1,1971.0,0,1.0,264.0,0,0,0,275,0,0,0,0,0,-1,-1,-1,0,2,2010,2,0
160,3,21.0,1.68,0,-1,0,0,0,0,0,21,0,0,3,1,5,5,1971,1971,0,0,2,2,1,492.0,0,0,1,0,0,0,3,300.0,0,0.0,225.0,525.0,0,1,0,0,525,567,0,1092,0.0,0.0,1,1,3,1,0,6,0,0,-1,1,1997.0,0,1.0,320.0,0,0,0,0,0,0,0,0,0,-1,-1,-1,0,3,2010,0,0
160,4,24.0,2.28,0,-1,0,0,0,3,0,24,0,0,3,1,6,6,1975,1975,0,0,4,10,0,0.0,0,0,1,0,0,0,2,514.0,0,0.0,341.0,855.0,0,1,0,0,855,601,0,1456,0.0,0.0,2,1,3,1,1,6,0,1,1,0,1975.0,0,2.0,440.0,0,0,0,173,0,0,0,0,0,-1,-1,-1,0,6,2010,0,0
120,4,24.0,2.28,0,-1,0,0,0,3,0,24,0,0,3,0,7,6,1975,1975,0,0,4,10,0,0.0,0,0,1,1,0,0,0,0.0,0,0.0,836.0,836.0,0,0,0,0,836,0,0,836,0.0,0.0,1,0,2,1,0,4,0,0,-1,0,1975.0,0,1.0,308.0,0,0,0,0,30,0,0,0,0,-1,-1,-1,0,6,2010,0,0
