MSSubClass,MSZoning,LotFrontage,LotArea,Street,Alley,LotShape,LandContour,Utilities,LotConfig,LandSlope,Neighborhood,Condition1,Condition2,BldgType,HouseStyle,OverallQual,OverallCond,YearBuilt,YearRemodAdd,RoofStyle,RoofMatl,Exterior1st,Exterior2nd,MasVnrType,MasVnrArea,ExterQual,ExterCond,Foundation,BsmtQual,BsmtCond,BsmtExposure,BsmtFinType1,BsmtFinSF1,BsmtFinType2,BsmtFinSF2,BsmtUnfSF,TotalBsmtSF,Heating,HeatingQC,CentralAir,Electrical,1stFlrSF,2ndFlrSF,LowQualFinSF,GrLivArea,BsmtFullBath,BsmtHalfBath,FullBath,HalfBath,BedroomAbvGr,KitchenAbvGr,KitchenQual,TotRmsAbvGrd,Functional,Fireplaces,FireplaceQu,GarageType,GarageYrBlt,GarageFinish,GarageCars,GarageArea,GarageQual,GarageCond,PavedDrive,WoodDeckSF,OpenPorchSF,EnclosedPorch,3SsnPorch,ScreenPorch,PoolArea,PoolQC,Fence,MiscFeature,MiscVal,MoSold,YrSold,SaleType,SaleCondition,tag
60,4,65.0,8.45,0,-1,0,0,0,0,0,1,0,0,0,1,7,5,2003,2003,0,0,0,0,1,196.0,1,0,0,1,0,0,1,706.0,0,0.0,150.0,856.0,0,0,0,0,856,854,0,1710,1.0,0.0,2,1,3,1,1,8,0,0,-1,0,2003.0,1,2.0,548.0,0,0,0,0,61,0,0,0,0,-1,-1,-1,0,2,2008,0,0,208.5
20,4,80.0,9.6,0,-1,0,0,0,3,0,23,1,0,0,0,6,8,1976,1976,0,0,1,1,0,0.0,0,0,1,1,0,2,2,978.0,0,0.0,284.0,1262.0,0,0,0,0,1262,0,0,1262,0.0,1.0,2,0,3,1,0,6,0,1,1,0,1976.0,1,2.0,460.0,0,0,0,298,0,0,0,0,0,-1,-1,-1,0,5,2007,0,0,181.5
60,4,68.0,11.25,0,-1,1,0,0,0,0,1,0,0,0,1,7,5,2001,2002,0,0,0,0,1,162.0,1,0,0,1,0,3,1,486.0,0,0.0,434.0,920.0,0,0,0,0,920,866,0,1786,1.0,0.0,2,1,3,1,1,6,0,1,1,0,2001.0,1,2.0,608.0,0,0,0,0,42,0,0,0,0,-1,-1,-1,0,9,2008,0,0,223.5
70,4,60.0,9.55,0,-1,1,0,0,1,0,13,0,0,0,1,7,5,1915,1970,0,0,3,6,0,0.0,0,0,2,0,1,0,2,216.0,0,0.0,540.0,756.0,0,2,0,0,961,756,0,1717,1.0,0.0,1,0,3,1,1,7,0,1,0,1,1998.0,0,3.0,642.0,0,0,0,0,35,272,0,0,0,-1,-1,-1,0,2,2006,0,2,140.0
60,4,84.0,14.26,0,-1,1,0,0,3,0,16,0,0,0,1,8,5,2000,2000,0,0,0,0,1,350.0,1,0,0,1,0,1,1,655.0,0,0.0,490.0,1145.0,0,0,0,0,1145,1053,0,2198,1.0,0.0,2,1,4,1,1,9,0,1,1,0,2000.0,1,3.0,836.0,0,0,0,192,84,0,0,0,0,-1,-1,-1,0,12,2008,0,0,250.0
50,4,85.0,14.115,0,-1,1,0,0,0,0,11,0,0,0,2,5,5,1993,1995,0,0,0,0,0,0.0,0,0,5,1,0,0,1,732.0,0,0.0,64.0,796.0,0,0,0,0,796,566,0,1362,1.0,0.0,1,1,1,1,0,5,0,0,-1,0,1993.0,0,2.0,480.0,0,0,0,40,30,0,320,0,0,-1,0,0,700,10,2009,0,0,143.0
20,4,75.0,10.084,0,-1,0,0,0,0,0,5,0,0,0,0,8,5,2004,2005,0,0,0,0,2,186.0,1,0,0,2,0,1,1,1369.0,0,0.0,317.0,1686.0,0,0,0,0,1694,0,0,1694,1.0,0.0,2,0,3,1,1,7,0,1,0,0,2004.0,1,2.0,636.0,0,0,0,255,57,0,0,0,0,-1,-1,-1,0,8,2007,0,0,307.0
60,4,-1.0,10.382,0,-1,1,0,0,1,0,9,4,0,0,1,7,6,1973,1973,0,0,2,2,2,240.0,0,0,1,1,0,3,2,859.0,3,32.0,216.0,1107.0,0,0,0,0,1107,983,0,2090,1.0,0.0,2,1,3,1,0,7,0,2,1,0,1973.0,1,2.0,484.0,0,0,0,235,204,228,0,0,0,-1,-1,0,350,11,2009,0,0,200.0
50,3,51.0,6.12,0,-1,0,0,0,0,0,2,2,0,0,2,7,5,1931,1950,0,0,6,6,0,0.0,0,0,2,0,0,0,0,0.0,0,0.0,952.0,952.0,0,2,0,2,1022,752,0,1774,0.0,0.0,2,0,2,2,0,8,1,2,1,1,1931.0,0,2.0,468.0,1,0,0,90,0,205,0,0,0,-1,-1,-1,0,4,2008,0,2,129.9
190,4,50.0,7.42,0,-1,0,0,0,1,0,12,2,2,4,6,5,6,1939,1950,0,0,1,1,0,0.0,0,0,2,0,0,0,1,851.0,0,0.0,140.0,991.0,0,0,0,0,1077,0,0,1077,1.0,0.0,1,0,2,2,0,5,0,2,1,0,1939.0,1,1.0,205.0,2,0,0,0,4,0,0,0,0,-1,-1,-1,0,1,2008,0,0,118.0
